Region,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Dependancy ratio
WORLD,1987,  616 953,  550 096,  518 961,  509 609,  472 215,  396 158,  371 271,  313 274,  244 525,  223 088,  200 547,  177 643,  147 518,  109 771,  82 607,  58 072,  31 429,  12 859,  3 617,   690,   82,64.96185572
WORLD,1988,  625 964,  561 822,  518 170,  515 064,  477 170,  408 343,  378 879,  325 526,  255 014,  223 654,  204 407,  179 719,  151 479,  114 735,  82 046,  59 612,  32 553,  13 499,  3 827,   720,   89,64.53586651
WORLD,1989,  634 819,  571 810,  519 922,  517 624,  482 367,  424 520,  383 245,  337 082,  267 321,  224 670,  207 997,  181 531,  155 187,  119 579,  82 247,  61 040,  33 757,  14 107,  4 029,   754,   97,64.18770359
WORLD,1990,  642 748,  581 133,  525 331,  517 781,  489 391,  440 681,  385 243,  348 156,  281 481,  226 311,  211 137,  183 601,  158 786,  123 498,  84 083,  61 994,  34 954,  14 723,  4 248,   794,   102,63.94957655
WORLD,1991,  646 245,  590 612,  533 734,  516 223,  497 016,  456 390,  387 181,  357 795,  295 310,  230 236,  213 641,  186 564,  161 838,  127 072,  87 318,  62 234,  36 089,  15 320,  4 482,   837,   107,63.71676623
WORLD,1992,  644 299,  600 224,  545 247,  514 655,  504 359,  466 852,  392 196,  366 391,  307 927,  238 042,  215 023,  190 268,  164 265,  130 826,  91 175,  62 003,  37 263,  15 939,  4 739,   882,   110,63.4738514
WORLD,1993,  640 709,  609 779,  557 406,  513 780,  509 135,  471 476,  404 198,  373 937,  319 856,  248 341,  215 649,  194 053,  166 296,  134 460,  95 598,  61 673,  38 436,  16 609,  4 999,   931,   112,63.23934613
WORLD,1994,  635 995,  618 929,  567 680,  515 590,  511 223,  476 362,  420 198,  378 286,  331 071,  260 366,  216 653,  197 503,  168 033,  137 822,  99 859,  61 976,  39 526,  17 318,  5 242,   982,   116,62.88538923
WORLD,1995,  629 561,  627 077,  577 264,  521 320,  511 258,  483 067,  435 966,  380 143,  341 756,  274 164,  218 192,  200 501,  170 003,  141 095,  103 283,  63 621,  40 259,  18 027,  5 499,  1 041,   122,62.40441034
WORLD,1996,  624 459,  631 190,  587 092,  530 207,  509 826,  490 379,  451 075,  381 658,  351 007,  287 588,  221 964,  202 912,  172 875,  143 922,  106 418,  66 390,  40 480,  18 717,  5 751,  1 105,   129,61.83247036
