Index,Variant,Region,Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4(F),5-9(F),10-14(F),15-19(F),20-24(F),25-29(F),30-34(F),35-39(F),40-44(F),45-49(F),50-54(F),55-59(F),60-64(F),65-69(F),70-74(F),75-79(F),80-84(F),85-89(F),90-94(F),95-99(F),100+(F)
7143,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1960,  3 860,  4 447,  5 397,  4 713,  4 303,  4 210,  3 826,  3 334,  2 750,  2 579,  2 178,  1 849,  1 516,  1 161,   897,   599,   309,   111,   27,   4,   0
7144,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1961,  3 835,  4 235,  5 567,  4 587,  4 364,  4 264,  3 889,  3 440,  2 828,  2 615,  2 274,  1 857,  1 569,  1 201,   920,   603,   321,   115,   28,   4,   0
7145,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1962,  3 851,  4 056,  5 475,  4 626,  4 460,  4 299,  3 962,  3 547,  2 916,  2 638,  2 359,  1 880,  1 627,  1 244,   938,   610,   332,   119,   29,   4,   0
7146,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1963,  3 886,  3 933,  5 147,  4 864,  4 578,  4 296,  4 038,  3 637,  3 036,  2 647,  2 418,  1 934,  1 678,  1 290,   953,   627,   343,   124,   30,   4,   0
7147,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1964,  3 932,  3 874,  4 761,  5 139,  4 708,  4 265,  4 103,  3 718,  3 171,  2 655,  2 468,  2 011,  1 716,  1 336,   968,   652,   355,   131,   32,   5,   0
7148,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1965,  4 019,  3 834,  4 450,  5 400,  4 717,  4 268,  4 165,  3 789,  3 286,  2 705,  2 513,  2 100,  1 744,  1 380,   993,   677,   361,   137,   34,   5,   0
7149,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1966,  4 025,  3 813,  4 246,  5 572,  4 605,  4 337,  4 225,  3 855,  3 394,  2 788,  2 552,  2 194,  1 758,  1 434,  1 031,   698,   366,   143,   35,   5,   0
7150,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1967,  4 044,  3 834,  4 073,  5 487,  4 652,  4 440,  4 266,  3 930,  3 502,  2 878,  2 579,  2 280,  1 787,  1 494,  1 074,   718,   376,   150,   37,   6,   0
7151,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1968,  4 152,  3 872,  3 954,  5 166,  4 889,  4 570,  4 268,  4 008,  3 593,  2 999,  2 595,  2 341,  1 845,  1 547,  1 120,   735,   392,   157,   40,   6,   0
7152,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1969,  4 221,  3 920,  3 897,  4 790,  5 152,  4 724,  4 236,  4 074,  3 679,  3 135,  2 609,  2 393,  1 923,  1 590,  1 164,   751,   413,   164,   42,   6,   1
