LAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Gosport,6,6,6,6,8,2,4,3,15,4,7,2,7,5,11,6,11,6,9,7,8
Gravesham,13,8,15,12,7,6,12,6,7,8,9,8,11,15,11,7,10,13,12,9,8
Great Yarmouth,6,6,5,10,8,2,1,5,16,9,10,5,16,17,13,9,6,9,4,10,12
Greater Manchester (Met County),262,224,242,232,270,242,232,248,306,261,285,263,269,277,247,223,224,257,249,201,301
Greenwich,18,14,16,18,26,27,19,17,24,14,19,14,7,14,29,13,13,25,21,12,14
Guildford,11,8,16,8,14,8,8,7,13,12,7,4,18,5,6,13,9,13,13,17,8
Gwynedd / Gwynedd,9,9,16,13,8,9,4,10,8,12,13,21,13,12,10,15,24,12,12,10,15
Hackney,28,18,17,20,17,24,18,31,27,24,13,16,25,10,24,18,22,18,13,26,17
Halton,8,12,15,9,15,13,15,9,11,11,10,8,18,5,7,13,12,13,14,9,11
Hambleton,13,12,8,5,6,7,3,10,8,6,11,9,6,10,7,7,9,11,9,14,5
Hammersmith and Fulham,22,17,12,19,24,14,19,21,11,18,14,19,14,9,19,17,14,20,16,20,34
Hampshire,91,100,90,84,78,80,85,94,126,99,107,110,98,117,98,88,98,101,113,95,113
Harborough,2,10,7,5,8,5,4,7,8,17,9,5,5,8,10,7,11,9,5,5,10
Haringey,27,21,25,18,21,18,21,23,23,22,21,28,15,31,27,12,25,18,22,15,13
Harlow,8,5,9,10,10,5,5,4,3,19,13,12,6,11,7,15,11,21,8,8,6
Harrogate,12,9,19,8,17,14,15,23,13,14,14,14,14,12,13,16,18,21,16,16,10
Harrow,18,20,15,17,15,12,17,15,14,9,15,9,11,13,21,20,12,11,10,12,12
Hart,6,2,4,2,5,3,0,3,4,5,7,10,4,8,6,9,5,2,7,7,8
Hartlepool,8,14,11,7,7,4,7,1,9,7,12,12,7,5,7,13,8,8,10,13,13
Hastings,10,10,11,16,11,8,10,10,7,13,14,15,15,11,6,13,12,13,12,9,8
Havant,7,13,6,6,6,11,4,5,18,9,12,7,9,12,7,7,9,12,7,13,11
Havering,11,14,14,7,10,14,13,16,15,19,21,14,13,19,15,18,14,19,14,20,23
"Herefordshire, County of",16,15,12,18,19,20,14,18,16,22,15,18,17,13,20,23,16,16,21,27,16
Hertfordshire,70,75,95,65,80,57,69,74,70,62,64,71,52,71,74,64,76,102,105,77,56
Hertsmere,3,8,13,5,7,7,5,9,6,4,4,10,3,6,7,5,10,8,15,11,5
High Peak,8,11,11,6,8,10,4,1,7,4,7,7,4,7,8,6,4,9,12,9,11
Hillingdon,24,23,32,16,17,21,13,23,22,20,20,22,20,8,45,27,11,36,27,19,24
Hinckley and Bosworth,9,5,9,5,4,12,7,3,4,3,2,4,9,10,4,9,3,8,10,7,2
Horsham,8,6,9,8,4,11,11,11,4,7,19,11,12,15,12,15,12,7,14,10,14
Hounslow,16,22,10,22,18,19,21,22,27,20,13,23,8,6,29,25,14,30,27,19,17
Huntingdonshire,9,9,6,8,14,15,11,9,12,8,14,10,16,14,12,8,7,20,12,13,9
Hyndburn,7,11,6,7,7,5,12,6,8,10,9,12,9,12,7,13,7,7,6,11,9
Inner London,308,298,306,305,291,269,261,272,255,232,245,252,239,252,295,225,258,258,248,246,224
Ipswich,9,15,15,5,12,10,11,13,12,14,16,14,22,10,7,15,13,12,12,10,16
Isle of Anglesey / Ynys Môn,5,6,7,8,4,3,8,12,8,8,4,8,6,5,12,7,9,9,6,5,9
Isle of Wight,19,20,24,13,13,13,15,18,20,18,9,16,13,21,17,12,12,15,14,14,20
Isles of Scilly,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Islington,25,30,26,36,27,26,17,24,19,28,13,12,27,16,18,13,22,18,14,13,14
Kensington and Chelsea,18,17,17,20,19,13,11,11,13,10,9,12,13,12,12,14,14,13,11,15,17
Kent,124,117,135,128,125,113,126,88,132,100,119,125,151,165,153,143,128,137,156,174,149
"Kingston upon Hull, City of",29,26,27,38,33,22,34,25,31,19,28,29,26,28,27,37,31,27,39,24,27
Kingston upon Thames,7,14,8,18,16,7,6,12,9,8,12,10,7,4,12,16,12,17,18,7,11
King’s Lynn and West Norfolk,19,12,15,17,14,16,9,18,5,14,16,12,9,30,15,10,7,20,22,13,10
Kirklees,32,54,31,43,41,33,28,40,28,31,34,36,26,37,45,30,31,56,35,43,49
Knowsley,11,12,13,11,12,10,8,7,18,11,8,26,13,7,15,12,20,12,8,10,21
Lambeth,27,23,29,25,22,29,17,21,26,10,24,22,16,19,33,21,22,15,26,10,9
Lancashire,120,94,93,113,94,84,113,119,129,113,100,129,125,116,116,120,110,141,151,129,145
Lancaster,21,10,16,11,6,12,12,9,9,14,12,16,13,15,16,15,17,16,23,16,17
Leeds,53,62,64,72,51,57,67,62,64,51,67,86,62,55,91,74,71,80,110,83,88
Leicester,30,20,30,26,32,28,25,36,30,40,25,31,26,22,29,28,18,19,34,30,26
Leicestershire,45,48,36,48,36,54,30,31,44,39,54,50,65,53,46,62,35,54,55,47,62
Lewes,8,9,13,8,6,12,8,12,10,9,14,6,14,10,7,10,11,12,12,8,10
Lewisham,17,24,19,22,24,10,13,22,18,15,24,23,22,15,20,25,17,24,27,18,17
